Thursday, 21 - 8 - 2025 | 05:34 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 1 | Ringroad | N 01°28.717' E 124°53.518' | Bushes | Twig | Flying
Thursday, 21 - 8 - 2025 | 05:52 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 2 | Ringroad | N 01°32.100' E 124°54.749' | Agroforestry | Branch | Resting
Thursday, 21 - 8 - 2025 | 06:10 | Zebra Dove (<i>Geopelia striata</i>) | 3 | GPI | N 01°32.100' E 124°54.765' | Agroforestry | Ground Surface | Moving
Thursday, 21 - 8 - 2025 | 06:27 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 4 | GPI | N 01°32.101' E 124°54.762' | Residential area | Twig | Exploring
Thursday, 21 - 8 - 2025 | 06:40 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 5 | GPI | N 01°32.092' E 124°54.646' | Residential area | Twig | Resting
Thursday, 21 - 8 - 2025 | 06:50 | Javan Myna (<i>Acridotheres javanicus</i>) | 6 | GPI | N 01°32.207' E 124°54.563' | Residential area | Branch | Moving
Friday, 22 - 8 - 2025 | 05:14 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 7 | Mapanget | N 01°30.608' E 124°54.640' | Residential area | Branch | Resting
Friday, 22 - 8 - 2025 | 05:30 | Javan Myna (<i>Acridotheres javanicus</i>) | 8 | Mapanget | N 01°30.668' E 124°54.754' | Residential area | Ground Surface | Eating
Friday, 22 - 8 - 2025 | 05:40 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 9 | Mapanget | N 01°30.765' E 124°54.935' | Residential area | Branch | Resting
Friday, 22 - 8 - 2025 | 06:04 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 10 | Mapanget | N 01°31.160' E 124°55.219' | Bushes | Branch | Resting
Friday, 22 - 8 - 2025 | 06:22 | Zebra Dove (<i>Geopelia striata</i>) | 11 | Mapanget | N 01°31.427' E 124°55.260' | Residential area | Ground Surface | Eating
Saturday, 23 - 8 - 2025 | 05:10 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 12 | Teling | N 01°27.818' E 124°51.089' | Bushes | Branch | Resting
Saturday, 23 - 8 - 2025 | 05:23 | Zebra Dove (<i>Geopelia striata</i>) | 13 | Teling | N 01°27.833' E 124°51.078' | Residential area | Ground Surface | Moving
Saturday, 23 - 8 - 2025 | 05:30 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 14 | Teling | N 01°27.521' E 124°51.266' | Bushes | Branch | Exploring
Saturday, 23 - 8 - 2025 | 05:36 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 15 | Teling | N 01°27.137' E 124°51.350' | Residential area | Branch | Moving
Saturday, 23 - 8 - 2025 | 05:42 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 16 | Teling | N 01°27.137' E 124°51.567' | Agroforestry | Branch | Resting
Saturday, 23 - 8 - 2025 | 06:16 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 17 | Teling | N 01°27.210' E 124°51.124' | Residential area | Branch | Resting
Saturday, 23 - 8 - 2025 | 06:31 | Zebra Dove (<i>Geopelia striata</i>) | 18 | Teling | N 01°28.649' E 124°50.416' | Residential area | Branch | Exploring
Sunday, 24 - 8 - 2025 | 05:10 | Javan Myna (<i>Acridotheres javanicus</i>) | 19 | Malalayang | N 01°26.798' E  124°48.563' | Residential area | Tajuk | Resting
Sunday, 24 - 8 - 2025 | 05:16 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 20 | Malalayang | N 01°26.806' E 124°48.567' | Agroforestry | Twig | Resting
Sunday, 24 - 8 - 2025 | 05:24 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 21 | Malalayang | N 01°27.028' E 124°48.722' | Bushes | Branch | Resting
Sunday, 24 - 8 - 2025 | 05:34 | Javan Myna (<i>Acridotheres javanicus</i>) | 22 | Malalayang | N 01°26.224' E 124°48.409' | Residential area | Ground Surface | Eating
Sunday, 24 - 8 - 2025 | 06:12 | Zebra Dove (<i>Geopelia striata</i>) | 24 | Malalayang | Lat: 1.4633916 Long: 124.8291702 | Residential area | Branch | Resting
Sunday, 24 - 8 - 2025 | 06:22 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 25 | Malalayang | Lat. 1.4522652 Long: 124.8126668 | Bushes | Twig | Moving
